area,price
4894,348496
7931,318035
8103,483444
1368,595390
9793,655458
5317,985088
4844,670309
8369,304804
1992,623095
9114,701867
9255,949693
2681,268808
9379,157456
4474,275468
8725,734293
9896,323722
4251,318203
9084,685034
9492,392422
1257,306793
7061,575923
3697,659510
4851,689502
6517,520538
9217,172078
1853,768143
8070,822946
9903,850510
5842,964675
4019,488792
7022,872844
1903,283273
7095,109374
4959,626687
1383,113080
8925,254522
8205,190532
7013,518203
3928,228179
2607,176240
6430,447241
3412,239074
8537,793623
5470,114120
9321,505904
6394,457549
7416,178274
6349,998179
9586,190541
8134,285554
9599,142950
6523,170117
8266,253423
9719,693901
2503,993024
4805,630076
6150,966779
9955,321555
3085,850033
5913,740427
4980,859164
3245,154817
5861,147886
7588,149053
2520,219023
9506,334149
7002,187284
1315,660096
5042,491546
5317,320889
1063,614766
6701,133263
8701,481650
8867,642773
1806,351322
9230,538457
1676,785925
5642,291859
3802,699193
6070,836776
2728,376024
4396,579767
5673,166626
1976,655130
7158,683002
9613,639487
1134,126638
2486,645861
4112,165377
7564,899535
7075,616003
6495,404069
4210,239202
8609,560003
6065,635541
1377,628068
4510,949579
8765,331757
9191,711547
3334,620919
